status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
BLOCKED,pp-psis-loo-stacking__mini__arviz__analytic__s1,pp-psis-loo-stacking,ensemble,mini,ensemble,arviz,,,,,,,,,,,
PASS,pp-rolling-dirichlet-categorical__mini__builtin__analytic__s1,pp-rolling-dirichlet-categorical,conjugate,mini,select_position_categorical,builtin,776165a9950cbf6b50655affa5ff01a83208021c33515224e21f760ccc1743c4,0.06986330100335181,,0.0,5.2,28.0,0.0,1.0,0.1111111111111111,0.9937785882845841,3.643497256390448
BLOCKED,pp-seasonal-harmonic-categorical__mini__pymc__pymc-advi-fullrank__s1,pp-seasonal-harmonic-categorical,state_space,mini,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-single-changepoint-categorical__mini__pymc__pymc-smc__s1,pp-single-changepoint-categorical,changepoint,mini,select_position_categorical,pymc,,,,,,,,,,,
PASS,pp-static-dirichlet-categorical__mini__builtin__analytic__s1,pp-static-dirichlet-categorical,conjugate,mini,select_position_categorical,builtin,776165a9950cbf6b50655affa5ff01a83208021c33515224e21f760ccc1743c4,0.07106103299884126,,0.0,5.2,32.4,0.0,0.0,0.0,0.9689218526294315,3.1603535967199696
BLOCKED,pp-sticky-hdp-hmm__mini__numpyro__numpyro-svi-lowrank__s1,pp-sticky-hdp-hmm,nonparametric,mini,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-switching-dynamic-regression__mini__numpyro__numpyro-svi-lowrank__s1,pp-switching-dynamic-regression,regime_switching,mini,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-switching-logistic-normal__mini__numpyro__numpyro-svi-lowrank__s1,pp-switching-logistic-normal,regime_switching,mini,select_position_categorical,numpyro,,,,,,,,,,,
PASS,pp-uniform-dirichlet__mini__builtin__analytic__s1,pp-uniform-dirichlet,conjugate,mini,select_position_categorical,builtin,776165a9950cbf6b50655affa5ff01a83208021c33515224e21f760ccc1743c4,0.07088684500195086,,0.0,4.8,23.2,0.0,1.0,0.1111111111111111,0.9674255175325452,3.4044882668166236
BLOCKED,pp-variational-rnn__mini__pyro__pyro-svi-autonormal__s1,pp-variational-rnn,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-zero-inflated-negative-binomial-count__mini__pymc__pymc-advi-fullrank__s1,pp-zero-inflated-negative-binomial-count,count,mini,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-zero-inflated-poisson-count__mini__pymc__pymc-advi-fullrank__s1,pp-zero-inflated-poisson-count,count,mini,window_count,pymc,,,,,,,,,,,
