rank,path,artifact_relative_path,file_sha256,group_method,group_config_id,group_family,group_decision,group_seed,rows,date_min,date_max,model_hit,constant_hit,hit_difference,model_exact,constant_exact,model_mae,constant_mae,mae_difference,model_mse,constant_mse,mse_difference,prediction_unique,prediction_mode,prediction_mode_share,constant_prediction_unique,model_winning_blocks,equal_blocks,model_worst_block_hit,constant_worst_block_hit,model_block_hits,constant_block_hits,group_model,bootstrap_difference_mean,bootstrap_ci_2_5,bootstrap_ci_97_5,probability_model_better,bootstrap_iterations,bootstrap_block_length,passes_hit_margin,passes_ci,passes_mode_share,passes_diversity,passes_blocks,passes_mae,passes_mse,formal_pass,pseudo_accuracy_confirmed
1,/mnt/e/env/ts/loto_forecast_platform/artifacts/numbers3/tcn-v2-interaction-w8-fixed-20260802-154652/audit/phase-b3a-long-screening-20260802-161021/predictions.parquet,tcn-v2-interaction-w8-fixed-20260802-154652/audit/phase-b3a-long-screening-20260802-161021/predictions.parquet,34c32b76f035f1d570b59e1d3c547a8c5436c45ee9010abf60a74c76703a6b2e,empirical_w20_a5__hit_mse_0.02,,empirical,,,500,2024-08-22 00:00:00,2026-07-31 00:00:00,0.332,0.26,0.07200000000000001,0.098,0.106,2.498,3.846,-1.3479999999999999,8.718,21.662,-12.943999999999999,4,5,0.564,1,4,0,0.3,0.21,"[0.35, 0.3, 0.36, 0.33, 0.32]","[0.24, 0.31, 0.21, 0.3, 0.24]",,0.0728567,0.008000000000000007,0.138,0.9839,20000,10,True,True,True,True,True,True,True,True,False
2,/mnt/e/env/ts/loto_forecast_platform/artifacts/numbers3/tcn-v2-interaction-w8-fixed-20260802-154652/audit/phase-b3a-long-screening-20260802-161021/predictions.parquet,tcn-v2-interaction-w8-fixed-20260802-154652/audit/phase-b3a-long-screening-20260802-161021/predictions.parquet,34c32b76f035f1d570b59e1d3c547a8c5436c45ee9010abf60a74c76703a6b2e,empirical_w50_a0.5__hit_mse_0.01,,empirical,,,500,2024-08-22 00:00:00,2026-07-31 00:00:00,0.322,0.26,0.062,0.092,0.106,2.712,3.846,-1.134,10.924,21.662,-10.738,7,5,0.32,1,3,1,0.29,0.21,"[0.34, 0.31, 0.34, 0.29, 0.33]","[0.24, 0.31, 0.21, 0.3, 0.24]",,0.0622979,0.0020000000000000018,0.12200000000000003,0.97535,20000,10,True,True,True,True,True,True,True,True,False
