rank,method,rows,hit_within_1,exact_rate,mae,mse,rmse,prediction_unique,prediction_mode,prediction_mode_share,prediction_sha256,mean_confidence,maximum_confidence
1,numpyro_multinomial_hit_optimal,500,0.302,0.126,3.04,14.284,3.779417944604698,8,8,0.242,99b4528717e44aaaf685ad4acad40b0160e4c0a68c99fdb3b567c56de82d77f3,0.34506999999999993,0.43299999999999994
2,bayesian_dirichlet_w20_a5,500,0.3,0.098,3.13,14.69,3.83275357934736,8,1,0.288,0d4e2bd8f0e17d63ff0f45ae8d97106b02111f1278e95f30152ef678bf39a68d,0.3412,0.39999999999999997
3,numpyro_multinomial_exact,500,0.266,0.104,3.492,18.396,4.289055840158764,10,9,0.234,ab5411717356efa12cf91b719e5ee84b5e439253f260cea54203fb2ce32b554f,0.138356,0.239
4,train_only_best_constant,500,0.26,0.106,3.846,21.662,4.654245373849557,1,8,1.0,8c531c9ac7d922290af191189b6b610612773a52dfe45f12f6efccdfa8ba5bd1,,
