status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,all_positions_within_1,brier,log_loss
BLOCKED,pp-gaussian-process-time-varying-logit__numbers3__pymc__pymc-smc__s1,pp-gaussian-process-time-varying-logit,gaussian_process,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-gp-categorical__numbers3__pymc__pymc-advi-fullrank__s1,pp-gp-categorical,gaussian_process,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-hierarchical-dirichlet-digits__numbers3__pymc__pymc-nuts__s1,pp-hierarchical-dirichlet-digits,hierarchical,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-hierarchical-dirichlet-games__numbers3__pymc__pymc-nuts__s1,pp-hierarchical-dirichlet-games,hierarchical,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-hierarchical-dirichlet-process__numbers3__numpyro__numpyro-nuts__s1,pp-hierarchical-dirichlet-process,nonparametric,numbers3,digit_categorical,numpyro,,,,,,,,,,
BLOCKED,pp-hmm-categorical__numbers3__pymc__pymc-smc__s1,pp-hmm-categorical,regime_switching,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-hsmm-categorical__numbers3__numpyro__numpyro-svi-lowrank__s1,pp-hsmm-categorical,regime_switching,numbers3,digit_categorical,numpyro,,,,,,,,,,
BLOCKED,pp-hurdle-count__numbers3__pymc__pymc-advi-fullrank__s1,pp-hurdle-count,count,numbers3,window_count,pymc,,,,,,,,,,
BLOCKED,pp-latent-class-categorical__numbers3__pymc__pymc-smc__s1,pp-latent-class-categorical,mixture,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-local-level-categorical__numbers3__pymc__pymc-nuts__s1,pp-local-level-categorical,state_space,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-local-linear-trend-categorical__numbers3__pymc__pymc-nuts__s1,pp-local-linear-trend-categorical,state_space,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-logistic-normal-random-walk__numbers3__pymc__pymc-nuts__s1,pp-logistic-normal-random-walk,state_space,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-mixture-of-experts-categorical__numbers3__pymc__pymc-advi-fullrank__s1,pp-mixture-of-experts-categorical,mixture,numbers3,digit_categorical,pymc,,,,,,,,,,
PASS,pp-multinomial-dglm__numbers3__builtin__analytic__s1,pp-multinomial-dglm,state_space,numbers3,dynamic_multinomial,builtin,e27e4a868681990ab3b8c85589a4cb966230e26fa7f3c511451a3ac4daf09dc4,0.08088341199618299,,0.0,3.0,11.0,0.0,0.0,0.9061867512945893,2.2427315143786952
BLOCKED,pp-multinomial-logistic-normal-count__numbers3__pymc__pymc-nuts__s1,pp-multinomial-logistic-normal-count,count,numbers3,window_count,pymc,,,,,,,,,,
BLOCKED,pp-multinomial-logit-horseshoe__numbers3__pymc__pymc-nuts__s1,pp-multinomial-logit-horseshoe,bayesian_regression,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-multinomial-logit-laplace__numbers3__pymc__pymc-nuts__s1,pp-multinomial-logit-laplace,bayesian_regression,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-multinomial-logit-normal__numbers3__pymc__pymc-nuts__s1,pp-multinomial-logit-normal,bayesian_regression,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-multinomial-logit-regularized-horseshoe__numbers3__pymc__pymc-nuts__s1,pp-multinomial-logit-regularized-horseshoe,bayesian_regression,numbers3,digit_categorical,pymc,,,,,,,,,,
BLOCKED,pp-multinomial-probit__numbers3__pymc__pymc-advi-fullrank__s1,pp-multinomial-probit,bayesian_regression,numbers3,digit_categorical,pymc,,,,,,,,,,
