rank,method,rows,hit_within_1,exact_rate,mae,mse,rmse,prediction_unique,prediction_mode,prediction_mode_share,prediction_sha256,mean_confidence,maximum_confidence
1,dirichlet_w20_a5,500,0.3,0.098,3.13,14.69,3.83275357934736,8,1,0.288,0d4e2bd8f0e17d63ff0f45ae8d97106b02111f1278e95f30152ef678bf39a68d,0.3412,0.39999999999999997
2,dynamic_grw_hit_optimal,500,0.288,0.108,2.454,8.174,2.859020811396797,1,4,1.0,5b633ef5eee73982ec9aad478cb3612342e14de01a974b7ac6554dd26d59ba52,0.35848434455205197,0.3607825276806249
3,train_only_constant,500,0.26,0.106,3.846,21.662,4.654245373849557,1,8,1.0,8c531c9ac7d922290af191189b6b610612773a52dfe45f12f6efccdfa8ba5bd1,,
4,dynamic_grw_exact,500,0.234,0.084,3.842,21.718,4.66025750361501,2,0,0.7,fde80e0d6efe2ea155399298244bb8371e6cf567df55f6c6a1bae14dbee9146e,0.19236677574863634,0.19569621620940617
