rank,method,splits,mean_hit,std_hit,worst_hit,best_hit,mean_hit_advantage,worst_hit_advantage,winning_splits,mean_mae,mean_mse,mean_prediction_unique,max_mode_share,shuffle_mean,shuffle_p95,shuffle_p99,empirical_p_value,holm_adjusted_p,passes_full_coverage
1,tree_depth4,5,0.31320000000000003,0.013535139452550915,0.292,0.324,0.017599999999999994,-0.010000000000000009,3,3.2299999999999995,15.967600000000001,7.6,0.672,0.296748,0.31042000000000003,0.31520000000000004,0.024875621890547265,0.09950248756218906,False
2,empirical_w20_a5,5,0.2972,0.03186220331364421,0.248,0.336,0.0015999999999999903,-0.07600000000000001,4,3.1571999999999996,15.062000000000001,8.0,0.324,0.30018999999999996,0.3028,0.3036,0.9800995024875622,1.0,False
3,empirical_w50_a0.5,5,0.29560000000000003,0.01840652058374965,0.274,0.312,0.0,-0.045999999999999985,2,3.1416,14.7888,7.8,0.324,0.29193600000000003,0.29560000000000003,0.297604,0.06467661691542288,0.19402985074626866,False
4,train_only_best_constant,5,0.29560000000000003,0.029441467354736243,0.26,0.324,0.0,0.0,0,3.6372,19.824400000000004,1.6,1.0,0.2956,0.29560000000000003,0.29560000000000003,1.0,1.0,False
