number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_depth,params_lag_transforms_idx,params_lags_idx,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_subsample,params_target_transforms_idx,user_attrs_config,state
10,2.6616838766283637,2026-08-18 13:27:56.971636,2026-08-18 13:27:58.871958,0 days 00:00:01.900322,0.4898465352454333,4,0,1,0.0502968005863366,65.87618986936833,985,0.9888905636062734,2,"{'model_params': {'silent': True, 'n_estimators': 985, 'depth': 4, 'learning_rate': 0.0502968005863366, 'subsample': 0.9888905636062734, 'colsample_bylevel': 0.4898465352454333, 'min_data_in_leaf': 65.87618986936833}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8C31C80>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C41EB0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
11,2.662165416636701,2026-08-18 13:27:58.872515,2026-08-18 13:28:00.609144,0 days 00:00:01.736629,0.5049169273133794,4,0,1,0.0491645478556502,62.58442047090345,987,0.9766981762171831,2,"{'model_params': {'silent': True, 'n_estimators': 987, 'depth': 4, 'learning_rate': 0.0491645478556502, 'subsample': 0.9766981762171831, 'colsample_bylevel': 0.5049169273133794, 'min_data_in_leaf': 62.58442047090345}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8C0FEE0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C42570>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
12,2.6631015383385885,2026-08-18 13:28:00.609376,2026-08-18 13:28:02.285875,0 days 00:00:01.676499,0.5297744896222965,3,0,1,0.05455821031235465,72.36000461093374,995,0.9918775207946576,2,"{'model_params': {'silent': True, 'n_estimators': 995, 'depth': 3, 'learning_rate': 0.05455821031235465, 'subsample': 0.9918775207946576, 'colsample_bylevel': 0.5297744896222965, 'min_data_in_leaf': 72.36000461093374}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8DA4F30>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C42630>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
13,2.661626264333871,2026-08-18 13:28:02.286102,2026-08-18 13:28:03.846062,0 days 00:00:01.559960,0.4812145191396958,3,0,1,0.03905572210066989,68.00669685994933,994,0.9811646082043611,2,"{'model_params': {'silent': True, 'n_estimators': 994, 'depth': 3, 'learning_rate': 0.03905572210066989, 'subsample': 0.9811646082043611, 'colsample_bylevel': 0.4812145191396958, 'min_data_in_leaf': 68.00669685994933}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8DA4B40>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C429F0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
14,2.659176845649281,2026-08-18 13:28:03.846380,2026-08-18 13:28:05.285951,0 days 00:00:01.439571,0.3647267818084223,3,0,1,0.022109361986862856,95.95708821814695,821,0.8535280164377872,2,"{'model_params': {'silent': True, 'n_estimators': 821, 'depth': 3, 'learning_rate': 0.022109361986862856, 'subsample': 0.8535280164377872, 'colsample_bylevel': 0.3647267818084223, 'min_data_in_leaf': 95.95708821814695}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8DA50F0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C43E90>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
15,3.2290357700052255,2026-08-18 13:28:05.286256,2026-08-18 13:28:06.602152,0 days 00:00:01.315896,0.36360998756582386,2,0,1,0.019715654391939844,96.14713621678438,823,0.8014390286668615,2,"{'model_params': {'silent': True, 'n_estimators': 823, 'depth': 2, 'learning_rate': 0.019715654391939844, 'subsample': 0.8014390286668615, 'colsample_bylevel': 0.36360998756582386, 'min_data_in_leaf': 96.14713621678438}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8DA47C0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C42750>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
16,3.2919754399099643,2026-08-18 13:28:06.602449,2026-08-18 13:28:07.930542,0 days 00:00:01.328093,0.3728127799359714,7,0,1,0.0028019340861870105,98.34216872242027,830,0.8570724213747387,3,"{'model_params': {'silent': True, 'n_estimators': 830, 'depth': 7, 'learning_rate': 0.0028019340861870105, 'subsample': 0.8570724213747387, 'colsample_bylevel': 0.3728127799359714, 'min_data_in_leaf': 98.34216872242027}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000022DC8DB4350>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C42390>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
17,2.660662196235402,2026-08-18 13:28:07.930884,2026-08-18 13:28:09.880479,0 days 00:00:01.949595,0.6065820761749151,3,0,1,0.023100547303063525,42.048782471703504,840,0.6828397093972269,2,"{'model_params': {'silent': True, 'n_estimators': 840, 'depth': 3, 'learning_rate': 0.023100547303063525, 'subsample': 0.6828397093972269, 'colsample_bylevel': 0.6065820761749151, 'min_data_in_leaf': 42.048782471703504}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8DA5B00>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8C439B0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
18,2.244067552532982,2026-08-18 13:28:09.881025,2026-08-18 13:28:12.555492,0 days 00:00:02.674467,0.6394071688190159,6,1,1,0.02103438287663627,40.67638385391815,822,0.6598220296727255,2,"{'model_params': {'silent': True, 'n_estimators': 822, 'depth': 6, 'learning_rate': 0.02103438287663627, 'subsample': 0.6598220296727255, 'colsample_bylevel': 0.6394071688190159, 'min_data_in_leaf': 40.67638385391815}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8DA6740>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8D90170>], 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
19,2.661889583058046,2026-08-18 13:28:12.555725,2026-08-18 13:28:13.797088,0 days 00:00:01.241363,0.6198513861771149,2,0,1,0.0872696911367916,40.52563017725387,699,0.10640708264186433,2,"{'model_params': {'silent': True, 'n_estimators': 699, 'depth': 2, 'learning_rate': 0.0872696911367916, 'subsample': 0.10640708264186433, 'colsample_bylevel': 0.6198513861771149, 'min_data_in_leaf': 40.52563017725387}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000022DC8DA6900>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000022DC8D93A70>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
