method,observed_mean_difference,bootstrap_mean_difference,bootstrap_ci_2_5,bootstrap_ci_97_5,probability_better,bootstrap_iterations,bootstrap_block_length
multinomial_logistic,0.0012000000000000014,0.0011609400000000016,-0.01936,0.02192,0.54625,20000,10
ordinal_logistic,-0.00047999999999999974,-0.0007186919999999986,-0.020879999999999996,0.019520000000000006,0.47175,20000,10
