rank,method,splits,mean_hit,std_hit_across_splits,worst_split_hit,best_split_hit,mean_hit_advantage,worst_hit_advantage,winning_splits,splits_at_or_above_35,mean_mae,mean_mse,mean_prediction_unique,maximum_mode_share,mean_temperature,temperature_upper_boundary_total,temperature_lower_boundary_total,bootstrap_ci_2_5,bootstrap_ci_97_5,probability_better,passes_primary_hit,passes_advantage,passes_worst_advantage,passes_winning_splits,passes_bootstrap,passes_mode_share,formal_pass
1,multinomial_logistic,5,0.3,0.012332072007574413,0.2904,0.31880000000000003,0.0011999999999999858,-0.03360000000000002,2,0,3.1557599999999995,15.038640000000001,8.0,0.37,58.991569099931425,13,0,-0.01936,0.02192,0.54625,False,False,False,False,False,True,False
2,train_only_constant,5,0.29880000000000007,0.028968948893599848,0.26,0.328,0.0,0.0,0,0,3.7312,20.856,1.0,1.0,,0,0,,,,False,False,False,False,False,False,False
3,ordinal_logistic,5,0.29832000000000003,0.013015068190370743,0.284,0.3144,-0.00048000000000001373,-0.03480000000000002,2,0,3.1439999999999997,14.903839999999999,8.0,0.364,55.713908863374094,12,0,-0.020879999999999996,0.019520000000000006,0.47175,False,False,False,False,False,True,False
4,dirichlet_w20_a5,5,0.2972,0.03186220331364421,0.248,0.336,-0.0016000000000000124,-0.07600000000000001,4,0,3.1571999999999996,15.062000000000001,8.0,0.324,,0,0,,,,False,False,False,True,False,True,False
