runtime_path	python_version	sys_executable	venv_active	imports	torch_version	torch_cuda_build	cuda_available	gpu_name	compute_capability	sm120_listed	cuda_matmul_pass	status
/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python	3.13.13	/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python	True	"{""chronos"": {""ok"": true, ""version"": ""2.3.1""}, ""neuralforecast"": {""ok"": true, ""version"": ""3.2.0""}, ""optuna"": {""ok"": true, ""version"": ""4.9.0""}, ""ray"": {""ok"": true, ""version"": ""2.56.1""}}"	2.9.1+cu128	12.8	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python3	True	{}	2.9.1+cu128	12.8	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python3	True	"{""chronos"": {""ok"": true, ""version"": ""2.3.1""}}"	2.9.1+cu128	12.8	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python3	True	"{""darts"": {""ok"": true, ""version"": ""0.46.1""}}"								IMPORT_VERIFIED_CPU
/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python3	True	"{""darts"": {""ok"": true, ""version"": ""0.46.1""}}"	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv/bin/python3	True	"{""gluonts"": {""ok"": true, ""version"": ""0.16.3""}}"	2.9.1+cu128	12.8	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv/bin/python3	True	"{""gluonts"": {""ok"": true, ""version"": ""0.17.0""}}"	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv/bin/python3	3.11.14	/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv/bin/python3	True	"{""gluonts"": {""ok"": true, ""version"": ""0.14.4""}, ""uni2ts"": {""ok"": true, ""version"": ""2.0.0""}}"	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv/bin/python3	3.12.13	/mnt/e/env/ts/loto_forecast_platform/environments/sktime-classic-py312/.venv/bin/python3	True	"{""sktime"": {""ok"": true, ""version"": ""1.0.1""}}"								IMPORT_VERIFIED_CPU
/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/sktime-core-py313/.venv/bin/python3	True	"{""sktime"": {""ok"": true, ""version"": ""1.0.1""}}"								IMPORT_VERIFIED_CPU
/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv/bin/python3	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/statsforecast-py313/.venv/bin/python3	True	"{""statsforecast"": {""ok"": true, ""version"": ""2.1.1""}}"								IMPORT_VERIFIED_CPU
/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv/bin/python3	3.12.13	/mnt/e/env/ts/loto_forecast_platform/environments/tabpfn-ts/.venv/bin/python3	True	"{""tabpfn_time_series"": {""ok"": true, ""version"": ""1.2.0""}}"	2.13.0+cu130	13.0	True	NVIDIA GeForce RTX 5070 Ti	[12, 0]	True	True	CUDA_KERNEL_PASS
