game,library,model_id,model_name,lane,requested_args_json,effective_args_json,args_match,property_status,fit_status,fit_seconds,fit_seconds_status,predict_status,mae,mse,rmse,hit_at_1,position_hit_at_1,all_positions_hit_at_1,best_baseline_id,baseline_mae,baseline_rmse,mae_improvement_vs_baseline,rmse_improvement_vs_baseline,hit_at_1_difference_vs_baseline,train_rows,test_rows,holdout_rows,seed,protocol_hash,data_snapshot_sha256,normalized_file_sha256,prediction_lock_sha256,overall_status,failure_class,failure_reason
bingo5,statsforecast,sf-seasonalexponentialsmoothing,SeasonalExponentialSmoothing,UNIVARIATE,"{""alpha"":0.3,""season_length"":4}","{""alpha"":0.3,""season_length"":4}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.29375,2.45375,1.566445019782054,0.58875,0.58875,0.03,baseline:mean,1.21625,1.428723206222955,-0.0774999999999999,-0.13772181355909918,0.0012499999999999734,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,6baf52326714746811d7f09023f4875219cd41bd93af6119499847cbfdfe98d7,SUCCEEDED,,nan
bingo5,statsforecast,sf-seasonalexponentialsmoothingoptimized,SeasonalExponentialSmoothingOptimized,UNIVARIATE,"{""season_length"":4}","{""season_length"":4}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.23875,2.15875,1.4692685254915114,0.595,0.595,0.05,baseline:mean,1.21625,1.428723206222955,-0.022499999999999964,-0.040545319268556534,0.007499999999999951,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,f32c087c1e1ddde1aa5224e944f37e5b7caf2322ab5db6fa08737932225a68a2,SUCCEEDED,,nan
bingo5,statsforecast,sf-holt,Holt,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.21625,2.04125,1.428723206222955,0.5875,0.5874999999999999,0.03,baseline:mean,1.21625,1.428723206222955,0.0,0.0,0.0,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,46c06e883b2005a9cf1b46ee8d59974f0abc7197c21c0e740f1aa1a9cd8fb372,SUCCEEDED,,nan
bingo5,statsforecast,sf-holtwinters,HoltWinters,UNIVARIATE,"{""season_length"":4}","{""season_length"":4}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.22,2.06,1.4352700094407325,0.585,0.585,0.02,baseline:mean,1.21625,1.428723206222955,-0.00374999999999992,-0.006546803217777564,-0.0025000000000000577,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,eaf982939ac5e4ec442ccd2f40afa2bc60995b863a2b0fcfa651e412ffb45c40,SUCCEEDED,,nan
bingo5,statsforecast,sf-historicaverage,HistoricAverage,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.21625,2.04125,1.428723206222955,0.5875,0.5874999999999999,0.03,baseline:mean,1.21625,1.428723206222955,0.0,0.0,0.0,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,cfcd99d13a8ab47ccdf987332dc990cd37f78a54ec68865a2b2e5eaea9b60c6e,SUCCEEDED,,nan
bingo5,statsforecast,sf-naive,Naive,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.545,3.84,1.9595917942265424,0.525,0.525,0.0,baseline:mean,1.21625,1.428723206222955,-0.3287499999999999,-0.5308685880035875,-0.0625,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,8214fd34876aeccef60539e329191f557df19c23af639d540495507237eded52,SUCCEEDED,,nan
bingo5,statsforecast,sf-randomwalkwithdrift,RandomWalkWithDrift,UNIVARIATE,{},{},True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.545,3.84,1.9595917942265424,0.525,0.525,0.0,baseline:mean,1.21625,1.428723206222955,-0.3287499999999999,-0.5308685880035875,-0.0625,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,3448f552d465093e57d2f38a6069a91de4726679335e21bb199a90dee646f08e,SUCCEEDED,,nan
bingo5,statsforecast,sf-seasonalnaive,SeasonalNaive,UNIVARIATE,"{""season_length"":4}","{""season_length"":4}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.5725,3.885,1.9710403344427023,0.5175,0.5175,0.03,baseline:mean,1.21625,1.428723206222955,-0.35624999999999996,-0.5423171282197474,-0.07000000000000006,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,c4c809ae35dc242b88ec24bc9c91b4e966fa9e31e32192247512800d9580862b,SUCCEEDED,,nan
bingo5,statsforecast,sf-conformalseasonalpool,ConformalSeasonalPool,UNIVARIATE,"{""n_samples"":200,""season_length"":4}","{""n_samples"":200,""season_length"":4}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.5725,3.885,1.9710403344427023,0.5175,0.5175,0.03,baseline:mean,1.21625,1.428723206222955,-0.35624999999999996,-0.5423171282197474,-0.07000000000000006,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,3e46602818359bce5f9a458e96e1a9544c982b5b3c4570ebf2e13123c3314dce,SUCCEEDED,,nan
bingo5,statsforecast,sf-windowaverage,WindowAverage,UNIVARIATE,"{""window_size"":3}","{""window_size"":3}",True,VERIFIED,VERIFIED,,NOT_CAPTURED_BY_UNIFIED_CAMPAIGN,VERIFIED,1.33,2.6825,1.63783393541592,0.60375,0.60375,0.0,baseline:mean,1.21625,1.428723206222955,-0.11375000000000002,-0.20911072919296503,0.016249999999999987,"[332,352,372,392,412]",100,50,1,1eaa04f65df29009e052998928e8f3f56f710d3fd4d006c484f68e670ebba5b5,1e8cd2ae866286001a6c9976ecaa2a9f1a85226112bc5cbd3f7a80e45c1f2b27,7adc619d75b11b3c2ac875d02a90bbaa3ba5a31b96e09d9d8d9972f6c4380484,c4ff5f89b173f7f28604d20a10c9d1d39226e163b7af896c9779779d3c523eb6,SUCCEEDED,,nan
