status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
BLOCKED,pp-hierarchical-dirichlet-process__loto7__numpyro__numpyro-nuts__s1,pp-hierarchical-dirichlet-process,nonparametric,loto7,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-hmm-categorical__loto7__pymc__pymc-smc__s1,pp-hmm-categorical,regime_switching,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-hsmm-categorical__loto7__numpyro__numpyro-svi-lowrank__s1,pp-hsmm-categorical,regime_switching,loto7,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-hurdle-count__loto7__pymc__pymc-advi-fullrank__s1,pp-hurdle-count,count,loto7,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-latent-class-categorical__loto7__pymc__pymc-smc__s1,pp-latent-class-categorical,mixture,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-local-level-categorical__loto7__pymc__pymc-nuts__s1,pp-local-level-categorical,state_space,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-local-linear-trend-categorical__loto7__pymc__pymc-nuts__s1,pp-local-linear-trend-categorical,state_space,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-logistic-normal-random-walk__loto7__pymc__pymc-nuts__s1,pp-logistic-normal-random-walk,state_space,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-mixture-of-experts-categorical__loto7__pymc__pymc-advi-fullrank__s1,pp-mixture-of-experts-categorical,mixture,loto7,select_position_categorical,pymc,,,,,,,,,,,
PASS,pp-multinomial-dglm__loto7__builtin__analytic__s1,pp-multinomial-dglm,state_space,loto7,dynamic_multinomial,builtin,d93592da85934ed585cf4a51487ca40715eb583a6c2f3b0f1d013dec67abb3be,0.3180198379996,,0.0,7.285714285714286,57.285714285714285,0.0,1.0,0.07692307692307693,1.0953286534437505,4.137026491612195
BLOCKED,pp-multinomial-logistic-normal-count__loto7__pymc__pymc-nuts__s1,pp-multinomial-logistic-normal-count,count,loto7,window_count,pymc,,,,,,,,,,,
