status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
BLOCKED,pp-bart-categorical__loto6__pymc_bart__pymc-nuts__s1,pp-bart-categorical,tree_bayesian,loto6,select_candidate_inclusion,pymc_bart,,,,,,,,,,,
BLOCKED,pp-bayesian-beta-calibration__loto6__pymc__pymc-nuts__s1,pp-bayesian-beta-calibration,calibration,loto6,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-dirichlet-calibration__loto6__pymc__pymc-nuts__s1,pp-bayesian-dirichlet-calibration,calibration,loto6,calibration,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-embedding-categorical__loto6__pyro__pyro-svi-autonormal__s1,pp-bayesian-embedding-categorical,deep_probabilistic,loto6,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-gam-categorical__loto6__pymc__pymc-nuts__s1,pp-bayesian-gam-categorical,semi_parametric,loto6,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-gru__loto6__pyro__pyro-svi-autonormal__s1,pp-bayesian-gru,deep_probabilistic,loto6,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-kernel-mixture__loto6__pymc__pymc-smc__s1,pp-bayesian-kernel-mixture,nonparametric,loto6,select_position_ordinal,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-lstm__loto6__pyro__pyro-svi-autonormal__s1,pp-bayesian-lstm,deep_probabilistic,loto6,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-mlp__loto6__pyro__pyro-svi-autonormal__s1,pp-bayesian-mlp,deep_probabilistic,loto6,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-model-averaging__loto6__pymc__pymc-nuts__s1,pp-bayesian-model-averaging,ensemble,loto6,ensemble,pymc,,,,,,,,,,,
BLOCKED,pp-bayesian-neural-ordinal__loto6__pyro__pyro-svi-autonormal__s1,pp-bayesian-neural-ordinal,deep_probabilistic,loto6,select_position_ordinal,pyro,,,,,,,,,,,
BLOCKED,pp-bayesian-spline-categorical__loto6__pymc__pymc-nuts__s1,pp-bayesian-spline-categorical,semi_parametric,loto6,select_position_categorical,pymc,,,,,,,,,,,
