game,candidate_id,source,library,task,status,reason,protocol_hash,hit_at_1_mean,hit_at_1_variance,hit_at_1_worst,hit_at_1_worst_seed,position_hit_at_1_mean,position_hit_at_1_variance,position_hit_at_1_worst,position_hit_at_1_worst_seed,all_positions_hit_at_1_mean,all_positions_hit_at_1_variance,all_positions_hit_at_1_worst,all_positions_hit_at_1_worst_seed,mae_mean,mae_variance,mae_worst,mae_worst_seed,mse_mean,mse_variance,mse_worst,mse_worst_seed,rmse_mean,rmse_variance,rmse_worst,rmse_worst_seed
mini,sf-autoregressive,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.232,0.0,0.232,1,0.23200000000000004,0.0,0.23200000000000004,1,0.0,0.0,0.0,1,3.796,0.0,3.796,1,22.868,0.0,22.868,1,4.782049769711729,0.0,4.782049769711729,1
mini,sf-simpleexponentialsmoothing,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.24,0.0,0.24,1,0.24,0.0,0.24,1,0.01,0.0,0.01,1,3.968,0.0,3.968,1,25.716,0.0,25.716,1,5.071094556404958,0.0,5.071094556404958,1
mini,sf-simpleexponentialsmoothingoptimized,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.236,0.0,0.236,1,0.236,0.0,0.236,1,0.0,0.0,0.0,1,3.804,0.0,3.804,1,23.02,0.0,23.02,1,4.797916214358063,0.0,4.797916214358063,1
mini,sf-seasonalexponentialsmoothing,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.232,0.0,0.232,1,0.23199999999999998,0.0,0.23199999999999998,1,0.0,0.0,0.0,1,4.094,0.0,4.094,1,26.654,0.0,26.654,1,5.162751204542013,0.0,5.162751204542013,1
mini,sf-seasonalexponentialsmoothingoptimized,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.222,0.0,0.222,1,0.22199999999999998,0.0,0.22199999999999998,1,0.0,0.0,0.0,1,3.914,0.0,3.914,1,23.662,0.0,23.662,1,4.864360184032428,0.0,4.864360184032428,1
mini,sf-holt,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.232,0.0,0.232,1,0.23199999999999998,0.0,0.23199999999999998,1,0.0,0.0,0.0,1,3.818,0.0,3.818,1,23.262,0.0,23.262,1,4.823069562011313,0.0,4.823069562011313,1
mini,sf-holtwinters,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.242,0.0,0.242,1,0.242,0.0,0.242,1,0.0,0.0,0.0,1,3.818,0.0,3.818,1,23.278,0.0,23.278,1,4.824727971606275,0.0,4.824727971606275,1
mini,sf-historicaverage,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.234,0.0,0.234,1,0.23400000000000004,0.0,0.23400000000000004,1,0.0,0.0,0.0,1,3.792,0.0,3.792,1,23.016,0.0,23.016,1,4.797499348619028,0.0,4.797499348619028,1
mini,sf-naive,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.208,0.0,0.208,1,0.20800000000000002,0.0,0.20800000000000002,1,0.0,0.0,0.0,1,5.124,0.0,5.124,1,43.54,0.0,43.54,1,6.598484674529448,0.0,6.598484674529448,1
mini,sf-randomwalkwithdrift,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.208,0.0,0.208,1,0.20800000000000002,0.0,0.20800000000000002,1,0.0,0.0,0.0,1,5.124,0.0,5.124,1,43.54,0.0,43.54,1,6.598484674529448,0.0,6.598484674529448,1
mini,sf-seasonalnaive,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.22,0.0,0.22,1,0.22000000000000003,0.0,0.22000000000000003,1,0.0,0.0,0.0,1,5.24,0.0,5.24,1,45.788,0.0,45.788,1,6.7666830870079915,0.0,6.7666830870079915,1
mini,sf-conformalseasonalpool,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.22,0.0,0.22,1,0.22000000000000003,0.0,0.22000000000000003,1,0.0,0.0,0.0,1,5.24,0.0,5.24,1,45.788,0.0,45.788,1,6.7666830870079915,0.0,6.7666830870079915,1
mini,sf-windowaverage,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.218,0.0,0.218,1,0.21800000000000003,0.0,0.21800000000000003,1,0.0,0.0,0.0,1,4.34,0.0,4.34,1,30.176,0.0,30.176,1,5.493268608032926,0.0,5.493268608032926,1
mini,sf-seasonalwindowaverage,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.244,0.0,0.244,1,0.244,0.0,0.244,1,0.0,0.0,0.0,1,4.574,0.0,4.574,1,34.47,0.0,34.47,1,5.871115737234278,0.0,5.871115737234278,1
mini,sf-adida,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.258,0.0,0.258,1,0.258,0.0,0.258,1,0.01,0.0,0.01,1,3.796,0.0,3.796,1,23.324,0.0,23.324,1,4.8294927269848955,0.0,4.8294927269848955,1
mini,sf-crostonclassic,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.258,0.0,0.258,1,0.258,0.0,0.258,1,0.01,0.0,0.01,1,3.796,0.0,3.796,1,23.324,0.0,23.324,1,4.8294927269848955,0.0,4.8294927269848955,1
mini,sf-crostonoptimized,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.258,0.0,0.258,1,0.258,0.0,0.258,1,0.01,0.0,0.01,1,3.796,0.0,3.796,1,23.324,0.0,23.324,1,4.8294927269848955,0.0,4.8294927269848955,1
mini,sf-crostonsba,catalog,statsforecast,position_series,SUCCEEDED,,1f3ca2b652c37e5335306fad976f7b7cd8c46d129213188f3d2fe39e49ff8cba,0.246,0.0,0.246,1,0.246,0.0,0.246,1,0.01,0.0,0.01,1,3.926,0.0,3.926,1,24.586,0.0,24.586,1,4.958427169980416,0.0,4.958427169980416,1
