rank,method,rows,hit_within_1,exact_rate,mae,mse,rmse,prediction_unique,prediction_mode,prediction_mode_share,prediction_sha256,mean_confidence,maximum_confidence
1,multinomial_logistic_calibrated_hit,500,0.34,0.136,3.042,14.798,3.846816865929544,8,8,0.314,f09b6d943feb7751007cf09d47129bf3fd23543d83b8298a7c05247ba9c8fab6,0.30466479617416464,0.31318812794006184
2,ordinal_logistic_calibrated_hit,500,0.328,0.14,3.056,14.82,3.8496753109840314,8,8,0.3,8a700bc98c8723488ab1e7217a07ceb9b49ec39428946aa8f8f48bb9aea23c1f,0.3047685034760876,0.313762081547674
3,catboost_regression,500,0.318,0.086,2.514,8.57,2.9274562336608896,2,5,0.996,ebecabe2b7034926b0f8affc0b7c1cc5f0c366719d8895eaf7bcb871e213752f,,
4,dirichlet_w20_a5,500,0.3,0.098,3.13,14.69,3.83275357934736,8,1,0.288,0d4e2bd8f0e17d63ff0f45ae8d97106b02111f1278e95f30152ef678bf39a68d,0.3412,0.39999999999999997
5,catboost_multiclass_calibrated_hit,500,0.294,0.116,3.43,18.086,4.252763807219959,7,8,0.506,03ac8f150c24edecf196205b336c97eff38f9b0f8f6a699b39f8f560c9b440d7,0.31421447751907605,0.34611942960851716
6,train_only_constant,500,0.26,0.106,3.846,21.662,4.654245373849557,1,8,1.0,8c531c9ac7d922290af191189b6b610612773a52dfe45f12f6efccdfa8ba5bd1,,
