raw_path	lexists	exists	is_symlink	symlink_target	executable	probe_status	returncode	python_version	sys_executable	sys_prefix	sys_base_prefix	is_venv	site_packages	package_count	package_fingerprint_sha256	error	stderr_tail
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu/bin/python3.11	True	PASS	0	3.11.14	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/bin/python	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment	/home/az/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/lib/python3.11/site-packages""]"	44	4cb66ba700f92f94bacd04140203c7b7e570c19f9221d87c3d2c0857a885f9f7		
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/bin/python3	True	True	True	python	True	PASS	0	3.11.14	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/bin/python3	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment	/home/az/.local/share/uv/python/cpython-3.11-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/moment/lib/python3.11/site-packages""]"	44	4cb66ba700f92f94bacd04140203c7b7e570c19f9221d87c3d2c0857a885f9f7		
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.13-linux-x86_64-gnu/bin/python3.13	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/bin/python	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/lib/python3.13/site-packages""]"	53	4f998d5e34ab25c0d77969386352171dde703655cb6b4f4aea1961b6c28a3947		
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/bin/python3	True	True	True	python	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/bin/python3	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/timesfm/lib/python3.13/site-packages""]"	53	4f998d5e34ab25c0d77969386352171dde703655cb6b4f4aea1961b6c28a3947		
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.12-linux-x86_64-gnu/bin/python3.12	True	PASS	0	3.12.13	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/bin/python	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/lib/python3.12/site-packages""]"	219	4642f086e92aeed34df914f37677283bfc8ef870b22a604a8864c8c3fac2ee4e		
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/bin/python3	True	True	True	python	True	PASS	0	3.12.13	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/bin/python3	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open/lib/python3.12/site-packages""]"	219	4642f086e92aeed34df914f37677283bfc8ef870b22a604a8864c8c3fac2ee4e		
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.12-linux-x86_64-gnu/bin/python3.12	True	PASS	0	3.12.13	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/bin/python	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/lib/python3.12/site-packages""]"	85	21fea0a4ecdb6c624ce793b2e8ef03afa48bf6edfaf07ea88636b6437c7f6ecc		
/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/bin/python3	True	True	True	python	True	PASS	0	3.12.13	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/bin/python3	/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto	/home/az/.local/share/uv/python/cpython-3.12.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto/lib/python3.12/site-packages""]"	85	21fea0a4ecdb6c624ce793b2e8ef03afa48bf6edfaf07ea88636b6437c7f6ecc		
/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.13-linux-x86_64-gnu/bin/python3.13	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python	/mnt/e/env/ts/loto_forecast_platform/.venv	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.venv/lib/python3.13/site-packages""]"	129	63d78ee01f725618841bd72d38e8bed4b09b131a448713d8495b651936140e81		
/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python3	True	True	True	python	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/.venv/bin/python3	/mnt/e/env/ts/loto_forecast_platform/.venv	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/.venv/lib/python3.13/site-packages""]"	129	63d78ee01f725618841bd72d38e8bed4b09b131a448713d8495b651936140e81		
/mnt/e/env/ts/loto_forecast_platform/environments/autogluon-timeseries/.venv/bin/python	True	False	True	/home/tajim/.local/share/uv/python/cpython-3.12-linux-x86_64-gnu/bin/python3.12	False	BROKEN_SYMLINK											
/mnt/e/env/ts/loto_forecast_platform/environments/autogluon-timeseries/.venv/bin/python3	True	False	True	python	False	BROKEN_SYMLINK											
/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.13-linux-x86_64-gnu/bin/python3.13	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/lib/python3.13/site-packages""]"	66	7f4807e33f502bc4c6c0b48e6fdd79877b2ac2e6af47f3b51974ed1ef1fd4d04		
/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python3	True	True	True	python	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/bin/python3	/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/environments/chronos2-py313/.venv/lib/python3.13/site-packages""]"	66	7f4807e33f502bc4c6c0b48e6fdd79877b2ac2e6af47f3b51974ed1ef1fd4d04		
/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.13-linux-x86_64-gnu/bin/python3.13	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/lib/python3.13/site-packages""]"	59	f7ffed1f6fb01ba0f976abc71e91d51c109a19c21344f4aa907d7593723a0aa7		
/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python3	True	True	True	python	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/bin/python3	/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/environments/darts-notorch/.venv/lib/python3.13/site-packages""]"	59	f7ffed1f6fb01ba0f976abc71e91d51c109a19c21344f4aa907d7593723a0aa7		
/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python	True	True	True	/home/az/.local/share/uv/python/cpython-3.13-linux-x86_64-gnu/bin/python3.13	True	PASS	0	3.13.13	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/bin/python	/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv	/home/az/.local/share/uv/python/cpython-3.13.13-linux-x86_64-gnu	True	"[""/mnt/e/env/ts/loto_forecast_platform/environments/darts-torch/.venv/lib/python3.13/site-packages""]"	90	881c97c8be1f443195a7eefd1dfc9c5e993d56d483ba85fab59696729d5ebf20		
