environment	project_name	mapping_status	candidate_count	all_candidates
environments/moirai2-supported-py311	loto-moirai2-supported-provider	MULTIPLE_VENV_CANDIDATES	3	"[{""reasons"": [""FAMILY_MATCH:gluonts""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-compat/.venv"", ""score"": 100}, {""reasons"": [""FAMILY_MATCH:gluonts""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/gluonts-latest/.venv"", ""score"": 100}, {""reasons"": [""FAMILY_MATCH:moirai""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/environments/moirai2-cuda13-experimental/.venv"", ""score"": 100}]"
environments/toto2-4m-py312	loto-toto2-4m-runtime	MULTIPLE_VENV_CANDIDATES	2	"[{""reasons"": [""FAMILY_MATCH:toto""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto"", ""score"": 100}, {""reasons"": [""FAMILY_MATCH:toto""], ""runtime_prefix"": ""/mnt/e/env/ts/loto_forecast_platform/.runtime-envs/toto-open"", ""score"": 100}]"
