number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_depth,params_lag_transforms_idx,params_lags_idx,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_subsample,params_target_transforms_idx,user_attrs_config,state
0,inf,2026-08-18 11:28:50.890969,2026-08-18 11:28:50.891745,0 days 00:00:00.000776,0.23208030173540176,8,0,0,0.0010006061777325433,10.141520882110981,446,0.3720993153686558,3,"{'model_params': {'silent': True, 'n_estimators': 446, 'depth': 8, 'learning_rate': 0.0010006061777325433, 'subsample': 0.3720993153686558, 'colsample_bylevel': 0.23208030173540176, 'min_data_in_leaf': 10.141520882110981}, 'mlf_init_params': {'lags': None, 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000021102F88CD0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102D77AD0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
1,3.2898951154901113,2026-08-18 11:28:50.891970,2026-08-18 11:28:52.341131,0 days 00:00:01.449161,0.2782913401763909,5,1,0,0.01930021084703238,80.27371229887812,687,0.2263482447357104,0,"{'model_params': {'silent': True, 'n_estimators': 687, 'depth': 5, 'learning_rate': 0.01930021084703238, 'subsample': 0.2263482447357104, 'colsample_bylevel': 0.2782913401763909, 'min_data_in_leaf': 80.27371229887812}, 'mlf_init_params': {'lags': None, 'target_transforms': None, 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
2,inf,2026-08-18 11:28:52.341396,2026-08-18 11:28:52.342246,0 days 00:00:00.000850,0.722689402555426,5,0,0,0.16000462688243752,32.23604746960023,143,0.5798487564757154,4,"{'model_params': {'silent': True, 'n_estimators': 143, 'depth': 5, 'learning_rate': 0.16000462688243752, 'subsample': 0.5798487564757154, 'colsample_bylevel': 0.722689402555426, 'min_data_in_leaf': 32.23604746960023}, 'mlf_init_params': {'lags': None, 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000021102EFC9D0>, <mlforecast.target_transforms.Differences object at 0x0000021102EFCC30>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021102ECA250>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
3,3.2900658420844344,2026-08-18 11:28:52.342479,2026-08-18 11:28:53.180390,0 days 00:00:00.837911,0.2170257149064499,10,1,0,0.004738217174314708,2.9173288291594104,475,0.3589978047277139,0,"{'model_params': {'silent': True, 'n_estimators': 475, 'depth': 10, 'learning_rate': 0.004738217174314708, 'subsample': 0.3589978047277139, 'colsample_bylevel': 0.2170257149064499, 'min_data_in_leaf': 2.9173288291594104}, 'mlf_init_params': {'lags': None, 'target_transforms': None, 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
4,2.755153362834052,2026-08-18 11:28:53.180903,2026-08-18 11:28:53.548073,0 days 00:00:00.367170,0.14495811305147846,5,0,1,0.03961280462151686,54.053744185635644,147,0.47276134257421243,2,"{'model_params': {'silent': True, 'n_estimators': 147, 'depth': 5, 'learning_rate': 0.03961280462151686, 'subsample': 0.47276134257421243, 'colsample_bylevel': 0.14495811305147846, 'min_data_in_leaf': 54.053744185635644}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.Differences object at 0x0000021102ED69F0>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021103080050>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
5,3.299633753014983,2026-08-18 11:28:53.548328,2026-08-18 11:28:54.133341,0 days 00:00:00.585013,0.7533981868154063,10,0,1,0.006312765759196979,88.44730302937518,207,0.7757308928225399,4,"{'model_params': {'silent': True, 'n_estimators': 207, 'depth': 10, 'learning_rate': 0.006312765759196979, 'subsample': 0.7757308928225399, 'colsample_bylevel': 0.7533981868154063, 'min_data_in_leaf': 88.44730302937518}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.GlobalSklearnTransformer object at 0x0000021102ECA580>, <mlforecast.target_transforms.Differences object at 0x0000021102F1C590>, <mlforecast.target_transforms.LocalStandardScaler object at 0x0000021168128870>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
6,3.2901374723725674,2026-08-18 11:28:54.133669,2026-08-18 11:28:54.676969,0 days 00:00:00.543300,0.46732312248515306,10,1,1,0.010845793080018134,24.465671044059743,159,0.6205506529484186,0,"{'model_params': {'silent': True, 'n_estimators': 159, 'depth': 10, 'learning_rate': 0.010845793080018134, 'subsample': 0.6205506529484186, 'colsample_bylevel': 0.46732312248515306, 'min_data_in_leaf': 24.465671044059743}, 'mlf_init_params': {'lags': [1], 'target_transforms': None, 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
7,2.2665693641637015,2026-08-18 11:28:54.677243,2026-08-18 11:28:55.894381,0 days 00:00:01.217138,0.9975905654063324,1,0,1,0.13761410625886128,18.061710326187526,642,0.7218072257652316,1,"{'model_params': {'silent': True, 'n_estimators': 642, 'depth': 1, 'learning_rate': 0.13761410625886128, 'subsample': 0.7218072257652316, 'colsample_bylevel': 0.9975905654063324, 'min_data_in_leaf': 18.061710326187526}, 'mlf_init_params': {'lags': [1], 'target_transforms': [<mlforecast.target_transforms.LocalStandardScaler object at 0x000002110305ECD0>], 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
8,3.289980009833898,2026-08-18 11:28:55.894621,2026-08-18 11:28:56.193057,0 days 00:00:00.298436,0.8740251538145992,1,1,0,0.0011618072386061404,54.344275369823634,68,0.32158996084274133,1,"{'model_params': {'silent': True, 'n_estimators': 68, 'depth': 1, 'learning_rate': 0.0011618072386061404, 'subsample': 0.32158996084274133, 'colsample_bylevel': 0.8740251538145992, 'min_data_in_leaf': 54.344275369823634}, 'mlf_init_params': {'lags': None, 'target_transforms': [<mlforecast.target_transforms.LocalStandardScaler object at 0x00000211030A0360>], 'lag_transforms': {1: [ExponentiallyWeightedMean(alpha=0.9)]}, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",COMPLETE
9,2.266813444278267,2026-08-18 11:28:56.193406,2026-08-18 11:28:56.780674,0 days 00:00:00.587268,0.7724094784634662,9,0,1,0.007806906465732987,56.067783165051466,271,0.8771876691034858,0,"{'model_params': {'silent': True, 'n_estimators': 271, 'depth': 9, 'learning_rate': 0.007806906465732987, 'subsample': 0.8771876691034858, 'colsample_bylevel': 0.7724094784634662, 'min_data_in_leaf': 56.067783165051466}, 'mlf_init_params': {'lags': [1], 'target_transforms': None, 'lag_transforms': None, 'date_features': None, 'num_threads': 1}, 'mlf_fit_params': {'static_features': []}}",PRUNED
