2026/08/01 17:50:42.829, 0, 2, 0, 39, 27.20
2026/08/01 17:50:42.937, 0, 2, 0, 39, 27.20
2026/08/01 17:50:43.037, 0, 2, 0, 39, 27.20
2026/08/01 17:50:43.137, 0, 2, 0, 39, 27.20
2026/08/01 17:50:43.237, 0, 2, 0, 39, 27.20
2026/08/01 17:50:43.337, 0, 2, 0, 39, 27.21
2026/08/01 17:50:43.437, 0, 2, 0, 39, 27.21
2026/08/01 17:50:43.538, 0, 2, 0, 39, 27.21
2026/08/01 17:50:43.638, 0, 2, 0, 39, 27.21
2026/08/01 17:50:43.738, 0, 2, 0, 39, 27.21
2026/08/01 17:50:43.838, 0, 2, 0, 39, 27.21
2026/08/01 17:50:43.939, 0, 2, 0, 39, 27.21
2026/08/01 17:50:44.039, 0, 2, 0, 39, 27.21
2026/08/01 17:50:44.139, 0, 2, 0, 39, 27.21
2026/08/01 17:50:44.239, 0, 2, 0, 39, 27.21
2026/08/01 17:50:44.340, 0, 2, 0, 39, 27.46
2026/08/01 17:50:44.440, 0, 2, 0, 39, 27.46
2026/08/01 17:50:44.540, 0, 2, 0, 39, 27.46
2026/08/01 17:50:44.640, 0, 2, 0, 39, 27.46
2026/08/01 17:50:44.786, 0, 4, 0, 39, 27.46
2026/08/01 17:50:44.886, 0, 4, 0, 40, 27.87
2026/08/01 17:50:44.986, 0, 19, 0, 40, 27.87
2026/08/01 17:50:45.087, 0, 232, 0, 40, 27.87
2026/08/01 17:50:45.187, 0, 280, 0, 40, 27.87
2026/08/01 17:50:45.287, 0, 324, 0, 40, 27.87
2026/08/01 17:50:45.387, 0, 366, 2, 40, 36.36
2026/08/01 17:50:45.487, 0, 366, 2, 40, 36.36
2026/08/01 17:50:45.588, 0, 424, 2, 40, 36.36
2026/08/01 17:50:45.688, 0, 424, 2, 40, 36.36
2026/08/01 17:50:45.788, 0, 424, 2, 40, 36.36
2026/08/01 17:50:45.888, 0, 424, 0, 41, 56.07
2026/08/01 17:50:45.988, 0, 424, 0, 41, 56.07
2026/08/01 17:50:46.088, 0, 424, 0, 41, 56.07
2026/08/01 17:50:46.189, 0, 424, 0, 41, 56.07
2026/08/01 17:50:46.289, 0, 424, 0, 41, 56.07
2026/08/01 17:50:46.389, 0, 424, 38, 45, 76.67
2026/08/01 17:50:46.489, 0, 424, 38, 45, 76.67
2026/08/01 17:50:46.589, 0, 424, 38, 45, 76.67
2026/08/01 17:50:46.689, 0, 424, 38, 45, 76.67
2026/08/01 17:50:46.790, 0, 424, 38, 45, 76.67
2026/08/01 17:50:46.890, 0, 424, 4, 43, 81.41
2026/08/01 17:50:46.990, 0, 424, 4, 43, 81.41
2026/08/01 17:50:47.090, 0, 424, 4, 43, 81.41
2026/08/01 17:50:47.190, 0, 424, 4, 43, 81.41
2026/08/01 17:50:47.290, 0, 424, 4, 43, 81.41
2026/08/01 17:50:47.391, 0, 424, 16, 42, 86.86
2026/08/01 17:50:47.491, 0, 424, 16, 42, 86.86
